id,address_state,application_type,emp_length,emp_title,grade,home_ownership,loan_status,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,last_credit_pull_date,last_payment_date,next_payment_date,original_issue_date
561280,VA,INDIVIDUAL,"10+ years","Advance Auto Parts",B,MORTGAGE,"Fully Paid",722341,car,B2," 36 months","Not Verified",120000,0.1896,182.68,0.1075,5600,50,6340,2021-05-16,2021-12-04,2021-12-05,2021-10-08
636721,MD,INDIVIDUAL,"10+ years","The American Sugar Refiining Co",B,MORTGAGE,"Fully Paid",815649,car,B3," 36 months","Not Verified",99750,0.0729,385.07,0.0962,12000,18,13631,2021-05-16,2021-01-13,2021-02-13,2021-10-12
1037682,OH,INDIVIDUAL,"10+ years","Countryside Animal Hospital",B,MORTGAGE,"Fully Paid",1267588,car,B4," 36 months","Not Verified",108000,0.0964,160.4,0.1242,4800,18,5774,2021-05-16,2021-12-14,2022-01-14,2021-11-12
611873,NM,INDIVIDUAL,"10+ years","B N S F Railroad",B,MORTGAGE,"Fully Paid",784596,car,B4," 36 months","Not Verified",48000,0.2402,122.6,0.0999,3800,30,4414,2021-12-15,2021-12-13,2022-01-13,2021-10-11
554118,NJ,INDIVIDUAL,"4 years","Mt. Olive Twp",B,MORTGAGE,"Fully Paid",713865,car,B2," 36 months","Not Verified",90000,0.1532,55.46,0.1075,1700,48,1970,2021-12-10,2021-12-10,2021-12-11,2021-10-07
781298,TX,INDIVIDUAL,"9 years",NULL,B,MORTGAGE,"Fully Paid",984137,car,B2," 36 months","Not Verified",70000,0.2309,278.85,0.1114,8500,19,10038,2021-05-16,2021-06-14,2021-07-14,2021-11-06
652490,TX,INDIVIDUAL,"1 year","San Antonio Fire Department",B,MORTGAGE,"Fully Paid",834488,car,B5," 36 months","Not Verified",46800,0.1459,181.17,0.1111,5525,11,5577,2021-11-02,2021-11-03,2021-11-04,2021-11-01
707827,NY,INDIVIDUAL,"5 years","Nutricap Labs",B,MORTGAGE,"Fully Paid",900219,car,B3," 36 months","Not Verified",150000,0.0465,389.3,0.1037,12000,16,12843,2021-09-14,2021-12-01,2021-12-02,2021-11-03
372096,CA,INDIVIDUAL,"7 years","South San Francisco Fire Department",B,MORTGAGE,"Fully Paid",390612,car,B3," 36 months","Not Verified",120000,0.1451,82.54,0.1158,2500,27,2975,2021-11-04,2021-11-04,2021-11-05,2021-09-01
831545,TX,INDIVIDUAL,"9 years","Cudd Energy Services",B,MORTGAGE,"Fully Paid",1040782,car,B1," 36 months","Not Verified",100000,0.1268,193.58,0.0999,6000,29,6699,2021-03-13,2021-02-13,2021-03-13,2021-11-08
485338,TX,INDIVIDUAL,"3 years","TSI CORP",B,MORTGAGE,"Fully Paid",618278,car,B1," 36 months","Not Verified",41000,0.106,289.9,0.0988,9000,39,10437,2021-03-13,2021-03-13,2021-04-13,2021-10-02
497757,VA,INDIVIDUAL,"8 years","Food Lion",B,MORTGAGE,"Fully Paid",638159,car,B3," 36 months","Not Verified",45000,0.1,244.2,0.1062,7500,20,8792,2021-01-16,2021-04-13,2021-05-13,2021-10-04
296489,NJ,INDIVIDUAL,"10+ years","Johnson & Johnson",B,MORTGAGE,"Fully Paid",296474,car,B2," 36 months","Not Verified",99000,0.0886,578.79,0.0976,18000,24,21247,2021-05-16,2021-11-02,2021-11-03,2021-08-03
456763,AZ,INDIVIDUAL,"3 years","Data Doctors",B,MORTGAGE,"Fully Paid",567415,car,B5," 36 months","Not Verified",29000,0.0691,117.14,0.1253,3500,9,3880,2021-05-16,2021-11-07,2021-11-08,2021-09-11
784904,MI,INDIVIDUAL,"10+ years","West Ottawa Public Schools",B,MORTGAGE,"Fully Paid",988157,car,B1," 36 months","Not Verified",105000,0.2058,193.58,0.0999,6000,61,6366,2021-12-03,2021-12-03,2021-12-04,2021-11-06
882693,CA,INDIVIDUAL,"2 years","John Muir Health",B,MORTGAGE,"Fully Paid",1097939,car,B2," 36 months","Not Verified",78000,0.2128,57.01,0.1065,1750,18,2052,2021-09-14,2021-10-14,2021-11-14,2021-11-09
361726,PA,INDIVIDUAL,"8 years","Horace Mann Insurance",B,MORTGAGE,"Fully Paid",370454,car,B2," 36 months","Not Verified",92904,0.198,174.73,0.1051,5375,37,5988,2021-10-04,2021-10-04,2021-10-05,2021-08-11
444554,MA,INDIVIDUAL,"6 years","I-many, Inc.",C,MORTGAGE,"Fully Paid",542120,car,C1," 36 months","Not Verified",150000,0.025,319.52,0.1287,9500,17,11012,2021-11-14,2021-11-05,2021-11-06,2021-09-10
512859,CA,INDIVIDUAL,"9 years","city of dixon",C,MORTGAGE,"Fully Paid",662623,car,C1," 36 months","Not Verified",80000,0.1761,201.4,0.1273,6000,29,7251,2021-05-13,2021-05-13,2021-06-13,2021-10-05
696646,FL,INDIVIDUAL,"2 years","tyco electronics",C,MORTGAGE,"Fully Paid",887830,car,C4," 36 months","Not Verified",57600,0.1429,136.33,0.138,4000,17,4908,2021-02-16,2021-03-14,2021-04-14,2021-11-03
536605,AZ,INDIVIDUAL,"2 years","dish network",C,MORTGAGE,"Fully Paid",693209,car,C5," 36 months","Not Verified",46140,0.1165,165.74,0.1472,4800,9,5499,2021-11-09,2021-11-09,2021-11-10,2021-10-06
427684,PA,INDIVIDUAL,"< 1 year","Prostar Packaging",C,MORTGAGE,"Fully Paid",505430,car,C4," 36 months","Not Verified",15000,0.1528,122.13,0.1347,3600,7,4242,2021-11-05,2021-11-06,2021-11-07,2021-09-07
735694,CA,INDIVIDUAL,"< 1 year","Agile1 Inc.",C,MORTGAGE,"Fully Paid",932478,car,C5," 36 months","Not Verified",144000,0.0961,264.32,0.1523,7600,14,9515,2021-02-15,2021-06-14,2021-07-14,2021-11-05
458516,FL,INDIVIDUAL,"< 1 year",walmart,C,MORTGAGE,"Fully Paid",570794,car,C5," 36 months","Not Verified",100000,0.0895,343.06,0.1426,10000,17,12350,2021-12-12,2021-12-12,2022-12-01,2021-09-12
732431,PA,INDIVIDUAL,"8 years","Penn United Technologies",C,MORTGAGE,"Fully Paid",928636,car,C1," 36 months","Not Verified",44400,0.0492,83.86,0.1268,2500,11,2829,2021-12-13,2021-12-09,2021-12-10,2021-11-04
495428,WI,INDIVIDUAL,"3 years","Hennes Services, Inc.",C,MORTGAGE,"Fully Paid",634592,car,C2," 36 months","Not Verified",53000,0.1915,215.97,0.1311,6400,27,7438,2021-07-15,2021-11-11,2021-11-12,2021-10-03
737746,NC,INDIVIDUAL,"6 years","Ingles Markets",C,MORTGAGE,"Fully Paid",934984,car,C5," 36 months","Not Verified",19200,0.1406,171.31,0.1417,5000,7,6040,2021-06-13,2021-06-13,2021-07-13,2021-11-04
970187,GA,INDIVIDUAL,"9 years","Floor Productions llc",C,MORTGAGE,"Fully Paid",1191431,car,C5," 36 months","Not Verified",48000,0.118,196.77,0.1596,5600,31,6969,2021-05-16,2021-01-14,2021-02-14,2021-11-09
1008709,PA,INDIVIDUAL,"6 years","NexTier Bank",C,MORTGAGE,"Fully Paid",1235403,car,C1," 36 months","Not Verified",103000,0.1732,135.73,0.1349,4000,47,4871,2021-05-16,2021-07-14,2021-08-14,2021-11-11
364302,VA,INDIVIDUAL,"10+ years","PHILIP MORRIS",C,MORTGAGE,"Fully Paid",374794,car,C5," 36 months","Not Verified",130000,0.1106,202.28,0.1304,6000,32,7282,2021-11-12,2021-11-12,2022-11-01,2021-08-12
793800,GA,INDIVIDUAL,"10+ years","J&K Fleas An'Tiques",D,MORTGAGE,"Fully Paid",998342,car,D2," 36 months","Not Verified",126000,0.1276,126.55,0.1599,3600,51,4556,2021-05-16,2021-07-14,2021-08-14,2021-11-06
572542,NY,INDIVIDUAL,"10+ years","Frontier Telephone",D,MORTGAGE,"Fully Paid",736455,car,D4," 36 months","Not Verified",50000,0.1586,140.53,0.1595,4000,55,4995,2021-05-16,2021-01-13,2021-02-13,2021-10-08
510506,WA,INDIVIDUAL,"10+ years","lucky eagle casino",D,MORTGAGE,"Fully Paid",659194,car,D3," 36 months","Not Verified",42000,0.11,104.49,0.1533,3000,20,3647,2021-12-05,2021-12-04,2021-12-05,2021-10-05
366128,CA,INDIVIDUAL,"5 years","Hacienda La Puente USD",A,OTHER,"Fully Paid",377327,car,A4," 36 months","Not Verified",55000,0.0676,127.79,0.0932,4000,22,4059,2021-09-02,2021-09-02,2021-09-03,2021-08-12
549126,AZ,INDIVIDUAL,"1 year","city of yuma",A,OWN,"Fully Paid",707878,car,A2," 36 months","Not Verified",63600,0.2209,123.07,0.0676,4000,21,4424,2021-07-13,2021-04-13,2021-05-13,2021-10-07
472180,MN,INDIVIDUAL,"10+ years","Babcock, Langbein and Co",A,OWN,"Fully Paid",596143,car,A1," 36 months","Not Verified",200000,0.0694,494.4,0.0705,16000,26,17719,2021-02-15,2021-12-07,2021-12-08,2021-10-01
864280,NY,INDIVIDUAL,"10+ years","schneider national carriers",A,OWN,"Fully Paid",1077447,car,A1," 36 months","Not Verified",48000,0.092,75.4,0.0542,2500,17,2512,2021-11-08,2021-11-10,2021-11-11,2021-11-08
986915,MI,INDIVIDUAL,"10+ years","L3 Communcations C.P.S.",A,OWN,"Fully Paid",1210906,car,A3," 36 months","Not Verified",53000,0.0335,93.34,0.0751,3000,8,3360,2021-05-16,2021-10-14,2021-11-14,2021-11-10
664738,CO,INDIVIDUAL,"10+ years",Amerigas,A,OWN,"Fully Paid",849947,car,A3," 36 months","Not Verified",42300,0.1447,61.69,0.0692,2000,14,2142,2021-04-15,2021-12-05,2021-12-06,2021-11-02
361916,NY,INDIVIDUAL,"10+ years","KOIKE ARONSON INC",A,OWN,"Fully Paid",370824,car,A3," 36 months","Not Verified",75000,0.1781,150.42,0.08,4800,27,4832,2021-08-12,2021-08-12,2022-08-01,2021-08-11
771076,OH,INDIVIDUAL,"3 years",medlab,A,OWN,"Fully Paid",972813,car,A4," 36 months","Not Verified",28000,0.1393,149.29,0.0749,4800,19,5374,2021-06-14,2021-06-14,2021-07-14,2021-11-06
806215,VA,INDIVIDUAL,"3 years","william edwards",A,OWN,"Fully Paid",998690,car,A5," 36 months","Not Verified",42000,0.0177,220.95,0.0849,7000,16,7145,2021-12-03,2021-11-10,2021-11-11,2021-11-07
600776,CT,INDIVIDUAL,"4 years","Apple Rehab of Old Saybrook",A,OWN,"Fully Paid",771025,car,A2," 36 months","Not Verified",48000,0.1115,90.99,0.0579,3000,22,3263,2021-04-16,2021-04-13,2021-05-13,2021-10-10
743687,CA,INDIVIDUAL,"5 years","medx billing services",A,OWN,"Fully Paid",941999,car,A1," 36 months","Not Verified",33600,0.1368,162.87,0.0542,5400,15,5856,2021-01-16,2021-01-14,2021-02-14,2021-11-05
588608,TX,INDIVIDUAL,"6 years","Capps Ag Center",A,OWN,"Fully Paid",756206,car,A2," 36 months","Not Verified",65000,0.2494,107.69,0.0676,3500,37,3742,2021-12-02,2021-12-01,2021-12-02,2021-10-10
880239,FL,INDIVIDUAL,"7 years","Attila Contractor",A,OWN,"Fully Paid",1095196,car,A1," 36 months","Not Verified",19200,0.0225,182.62,0.0603,6000,15,6422,2021-04-13,2021-03-13,2021-04-13,2021-11-09
701662,OK,INDIVIDUAL,"7 years","Rialto Theater",A,OWN,"Fully Paid",893426,car,A2," 36 months","Not Verified",14400,0.1517,163.01,0.0579,5375,10,5868,2021-03-15,2021-04-14,2021-05-14,2021-11-03
620935,MA,INDIVIDUAL,"7 years","Town Of Stoneham Police Dept",A,OWN,"Fully Paid",795814,car,A4," 36 months","Not Verified",39600,0.0806,303.61,0.0654,9900,8,10930,2021-12-13,2021-12-13,2022-01-13,2021-10-11
1030418,NC,INDIVIDUAL,"8 years",flexsol,A,OWN,"Fully Paid",1259806,car,A1," 36 months","Not Verified",48000,0.0775,76.09,0.0603,2500,12,2717,2021-05-14,2021-06-14,2021-07-14,2021-11-11
778086,KY,INDIVIDUAL,"< 1 year","Sysco, Inc",A,OWN,"Fully Paid",980621,car,A3," 36 months","Not Verified",41000,0.0808,30.88,0.0699,1000,12,1055,2021-05-16,2021-07-13,2021-08-13,2021-11-06
406033,NJ,INDIVIDUAL,"< 1 year",Octapharma,A,OWN,"Fully Paid",454370,car,A3," 36 months","Not Verified",40000,0.1323,188.02,0.08,6000,17,6739,2021-05-16,2021-12-03,2021-12-04,2021-09-05
851757,VT,INDIVIDUAL,"10+ years","the automaster",A,OWN,"Fully Paid",1063721,car,A5," 36 months","Not Verified",40000,0.1161,157.82,0.0849,5000,29,5414,2021-01-16,2021-12-11,2021-12-12,2021-11-08
386541,TX,INDIVIDUAL,"5 years","houston Cold Freight",A,OWN,"Fully Paid",418858,car,A1," 36 months","Not Verified",48000,0.1207,322.88,0.0737,10400,14,11623,2021-12-04,2021-12-04,2021-12-05,2021-09-03
680433,AL,INDIVIDUAL,"6 years","HARPER ELECTRI CONSTRUCTION",A,OWN,"Fully Paid",869236,car,A3," 36 months","Not Verified",31577,0.0821,77.11,0.0692,2500,21,2736,2021-02-13,2021-02-13,2021-03-13,2021-11-02
381104,CO,INDIVIDUAL,"< 1 year","Colorado Mountain College",A,OWN,"Fully Paid",409174,car,A1," 36 months","Not Verified",29280,0.0725,55.89,0.0737,1800,16,2012,2021-11-14,2021-12-03,2021-12-04,2021-09-02
469988,TX,INDIVIDUAL,"10+ years","Fidelity Investments",A,OWN,"Fully Paid",593144,car,A1," 36 months","Not Verified",109000,0.058,494.4,0.0705,16000,32,17738,2021-04-16,2021-12-07,2021-12-08,2021-09-12
475108,CO,INDIVIDUAL,"10+ years","Steel-T Heating Inc.",A,OWN,"Fully Paid",601235,car,A1," 36 months","Not Verified",74400,0.0426,231.75,0.0705,7500,31,8014,2021-11-03,2021-11-03,2021-11-04,2021-10-01
836828,DE,INDIVIDUAL,"10+ years","UFCW Local 27",A,OWN,"Fully Paid",1046913,car,A2," 36 months","Not Verified",50000,0.2102,228.14,0.0599,7500,32,8163,2021-11-13,2021-11-13,2021-12-13,2021-11-08
687289,CA,INDIVIDUAL,"5 years","Garratt Callahan",A,OWN,"Fully Paid",877274,car,A3," 36 months","Not Verified",102000,0.1242,215.89,0.0692,7000,21,7567,2021-12-09,2021-12-09,2021-12-10,2021-11-03
474790,NY,INDIVIDUAL,"< 1 year",NULL,A,OWN,"Fully Paid",600698,car,A1," 36 months","Not Verified",70000,0.0792,247.2,0.0705,8000,27,8664,2021-02-16,2021-12-04,2021-12-05,2021-10-01
730669,NY,INDIVIDUAL,"5 years","BNP Paribas",A,OWN,"Fully Paid",926657,car,A5," 36 months","Not Verified",100000,0.1464,187.08,0.0766,6000,16,6739,2021-04-16,2021-02-14,2021-03-14,2021-11-04
735441,PA,INDIVIDUAL,"4 years","Customized Distribution Services",A,OWN,"Fully Paid",932157,car,A5," 36 months","Not Verified",120000,0.2412,220.95,0.0849,7000,46,7954,2021-05-16,2021-05-14,2021-06-14,2021-11-05
485715,CT,INDIVIDUAL,"10+ years",NULL,B,OWN,"Fully Paid",618879,car,B3," 36 months","Not Verified",52000,0.1011,130.24,0.1062,4000,17,4689,2021-04-16,2021-04-13,2021-05-13,2021-10-03
503367,WY,INDIVIDUAL,"4 years","interstate brands corp.",B,OWN,"Fully Paid",647818,car,B2," 36 months","Not Verified",58000,0.1128,485.78,0.1025,15000,11,17281,2021-12-10,2021-12-10,2021-12-11,2021-10-04
749988,TX,INDIVIDUAL,"6 years","VA GI Bill Education",B,OWN,"Fully Paid",949275,car,B3," 36 months","Not Verified",43200,0.0936,65.47,0.1099,2000,6,2096,2021-11-12,2021-11-11,2021-11-12,2021-11-05
471662,CA,INDIVIDUAL,"10+ years",NULL,B,OWN,"Fully Paid",595463,car,B4," 36 months","Not Verified",140000,0.242,799.2,0.1218,24000,11,24244,2021-07-08,2021-10-02,2021-10-03,2021-09-12
724040,NY,INDIVIDUAL,"3 years","mercy college",B,OWN,"Fully Paid",919104,car,B5," 36 months","Not Verified",16800,0.0471,32.8,0.1111,1000,24,1137,2021-12-12,2021-12-11,2021-12-12,2021-11-04
1043163,FL,INDIVIDUAL,"5 years","Scooter Paints",B,OWN,"Fully Paid",1273265,car,B3," 36 months","Not Verified",26000,0.0711,148.85,0.1171,4500,9,5358,2021-05-16,2021-12-14,2022-01-14,2021-11-11
473807,PA,INDIVIDUAL,"< 1 year",NULL,B,OWN,"Fully Paid",599104,car,B1," 36 months","Not Verified",12000,0.17,147.62,0.1114,4500,5,5315,2021-02-13,2021-01-13,2021-02-13,2021-10-01
564259,MI,INDIVIDUAL,"10+ years","L3 Communications C.P.S.",B,OWN,"Fully Paid",726033,car,B4," 36 months","Not Verified",50000,0.0151,59.35,0.1149,1800,5,2137,2021-05-16,2021-09-13,2021-10-13,2021-10-08
797987,FL,INDIVIDUAL,"2 years","the back doctor",B,OWN,"Fully Paid",1003052,car,B3," 36 months","Not Verified",36000,0.0587,81.84,0.1099,2500,15,2907,2021-01-15,2021-09-13,2021-10-13,2021-11-06
464477,PA,INDIVIDUAL,"3 years",Walmart,B,OWN,"Fully Paid",582181,car,B3," 36 months","Not Verified",24300,0.0099,149.11,0.1183,4500,4,5304,2021-07-13,2021-12-03,2021-12-04,2021-09-12
460102,CA,INDIVIDUAL,"7 years","Mumm Napa",C,OWN,"Fully Paid",573959,car,C3," 36 months","Not Verified",62000,0.0805,118.89,0.1357,3500,15,3969,2021-11-02,2021-11-02,2021-11-03,2021-09-11
713402,FL,INDIVIDUAL,"10+ years",UCF,C,OWN,"Fully Paid",906620,car,C2," 36 months","Not Verified",49200,0.0402,134.9,0.1306,4000,30,4856,2021-05-16,2021-04-14,2021-05-14,2021-11-03
493683,MO,INDIVIDUAL,"2 years","Graphics Packaging",C,OWN,"Fully Paid",631696,car,C5," 36 months","Not Verified",50000,0.1409,205.71,0.1422,6000,10,7406,2021-05-16,2021-03-13,2021-04-13,2021-10-03
409503,NY,INDIVIDUAL,"< 1 year","Town of Seneca Falls Highway",C,OWN,"Fully Paid",460293,car,C3," 36 months","Not Verified",18720,0.2083,118.2,0.1316,3500,8,4256,2021-12-07,2021-12-07,2021-12-08,2021-09-06
472364,CO,INDIVIDUAL,"10+ years",NULL,D,OWN,"Fully Paid",596465,car,D2," 36 months","Not Verified",124000,0.0825,814.16,0.1496,23500,10,29310,2021-02-13,2021-01-13,2021-02-13,2021-09-12
472214,NY,INDIVIDUAL,"10+ years",NULL,D,OWN,"Fully Paid",596215,car,D2," 36 months","Not Verified",130000,0.0788,782.98,0.1496,22600,10,28187,2021-02-13,2021-01-13,2021-02-13,2021-09-12
472062,NY,INDIVIDUAL,"10+ years",NULL,D,OWN,"Fully Paid",595963,car,D2," 36 months","Not Verified",120000,0.0851,817.63,0.1496,23600,10,23895,2021-02-13,2021-10-02,2021-10-03,2021-09-12
690606,AL,INDIVIDUAL,"7 years","Nicholson MFG",D,OWN,"Fully Paid",881044,car,D4," 36 months","Not Verified",36000,0.247,279.88,0.1565,8000,21,9490,2021-05-16,2021-12-11,2021-12-12,2021-11-03
419127,NJ,INDIVIDUAL,"< 1 year","Aquinas Academy",D,OWN,"Fully Paid",491642,car,D3," 36 months","Not Verified",31193,0,138.15,0.1474,4000,4,4973,2021-12-07,2021-12-07,2021-12-08,2021-09-07
391751,MS,INDIVIDUAL,"2 years",McOpCo,D,OWN,"Fully Paid",428101,car,D4," 36 months","Not Verified",22000,0.1975,138.77,0.1505,4000,12,4763,2021-11-15,2021-11-10,2021-11-11,2021-09-04
372778,MA,INDIVIDUAL,"< 1 year","Dr. Demartino",D,OWN,"Fully Paid",391952,car,D2," 36 months","Not Verified",25000,0.1238,82.52,0.1442,2400,11,2971,2021-02-16,2021-12-04,2021-12-05,2021-09-03
471174,TX,INDIVIDUAL,"< 1 year",ICR,A,OWN,"Fully Paid",594840,car,A1," 36 months","Not Verified",48000,0.0085,231.75,0.0705,7500,18,8344,2021-05-16,2021-01-13,2021-02-13,2021-10-01
583337,NJ,INDIVIDUAL,"1 year","Marie Welshinger",A,RENT,"Fully Paid",749595,car,A3," 36 months","Not Verified",38500,0.0549,154.71,0.0714,5000,14,5570,2021-10-13,2021-10-13,2021-11-13,2021-10-09
749390,CA,INDIVIDUAL,"1 year","MH Consulting Services",A,RENT,"Fully Paid",948621,car,A4," 36 months","Not Verified",71040,0.0275,407.44,0.0749,13100,17,13488,2021-05-16,2021-11-10,2021-11-11,2021-11-05
812462,CA,INDIVIDUAL,"1 year","Fisher Asset Management LLC",A,RENT,"Fully Paid",1015921,car,A4," 36 months","Not Verified",65000,0.0052,124.41,0.0749,4000,10,4479,2021-03-16,2021-08-14,2021-09-14,2021-11-07
399588,WA,INDIVIDUAL,"1 year","State of Washington Dept of Corrections",A,RENT,"Fully Paid",442399,car,A4," 36 months","Not Verified",42000,0.0997,185.3,0.0932,5800,27,6716,2021-05-16,2021-12-06,2021-12-07,2021-09-05
433450,VA,INDIVIDUAL,"1 year","Roanoke City",A,RENT,"Fully Paid",516330,car,A4," 36 months","Not Verified",42312,0.1211,173.86,0.0859,5500,14,6150,2021-12-09,2021-11-08,2021-11-09,2021-09-08
611147,TX,INDIVIDUAL,"1 year",2Dialog,A,RENT,"Fully Paid",769311,car,A5," 36 months","Not Verified",50000,0.0883,199.67,0.0691,10000,26,6778,2021-12-01,2021-11-12,2022-11-01,2021-10-11
838960,WA,INDIVIDUAL,"1 year",CentrAlert,A,RENT,"Fully Paid",1049091,car,A5," 36 months","Not Verified",50000,0.1284,94.69,0.0849,3000,21,3366,2021-09-13,2021-09-13,2021-10-13,2021-11-08
485234,PA,INDIVIDUAL,"1 year","Newark Board of Education",A,RENT,"Fully Paid",618122,car,A5," 36 months","Not Verified",52300,0.0376,337.83,0.0788,10800,21,12163,2021-01-14,2021-03-13,2021-04-13,2021-10-02
623971,NY,INDIVIDUAL,"10+ years","kamco supply corp of new england",A,RENT,"Fully Paid",799645,car,A2," 36 months","Not Verified",45000,0.2216,57.63,0.0579,1900,25,1944,2021-11-14,2021-11-05,2021-11-06,2021-10-12
584739,NJ,INDIVIDUAL,"10+ years",pss,A,RENT,"Fully Paid",751369,car,A3," 36 months","Not Verified",140000,0.0796,278.48,0.0714,9000,24,9865,2021-04-16,2021-12-10,2021-12-11,2021-10-09
672866,GA,INDIVIDUAL,"10+ years",NULL,A,RENT,"Fully Paid",860102,car,A4," 36 months","Not Verified",30000,0.0024,62.02,0.0729,2000,4,2233,2021-10-14,2021-03-14,2021-04-14,2021-11-02
883995,FL,INDIVIDUAL,"10+ years","escambia county board of county commissi",A,RENT,"Fully Paid",1099330,car,A4," 36 months","Not Verified",26400,0.1709,118.91,0.079,3800,10,4300,2021-10-14,2021-11-14,2021-12-14,2021-11-09
752122,FL,INDIVIDUAL,"2 years","DR, Inc.",A,RENT,"Fully Paid",951674,car,A1," 36 months","Not Verified",70000,0.0777,135.72,0.0542,4500,21,4795,2021-12-12,2021-12-12,2022-12-01,2021-11-05
812053,WA,INDIVIDUAL,"2 years",ArtsFund,A,RENT,"Fully Paid",1019162,car,A2," 36 months","Not Verified",60000,0.0622,144.49,0.0599,4750,12,5201,2021-07-14,2021-08-14,2021-09-14,2021-11-07
665294,IL,INDIVIDUAL,"2 years","Stainless Sales Corporation",A,RENT,"Fully Paid",850593,car,A2," 36 months","Not Verified",110500,0.0968,272.95,0.0579,9000,26,9826,2021-02-14,2021-02-14,2021-03-14,2021-11-02
743941,CO,INDIVIDUAL,"2 years","Great southwestern construction",A,RENT,"Fully Paid",942327,car,A2," 36 months","Not Verified",42000,0.1331,197.72,0.0599,6500,12,7112,2021-06-15,2021-02-14,2021-03-14,2021-11-05
378205,MO,INDIVIDUAL,"2 years","International Education",A,RENT,"Fully Paid",403074,car,A3," 36 months","Not Verified",30000,0.008,172.35,0.08,5500,21,6034,2021-10-11,2021-10-12,2022-10-01,2021-09-02
386851,CA,INDIVIDUAL,"2 years","Improvement Direct",A,RENT,"Fully Paid",416411,car,A3," 36 months","Not Verified",23198,0.0895,188.02,0.08,6000,21,6769,2021-12-04,2021-12-04,2021-12-05,2021-09-03
653363,VA,INDIVIDUAL,"2 years",Compusearch,A,RENT,"Fully Paid",835549,car,A4," 36 months","Not Verified",70000,0.0427,93.03,0.0729,3000,5,3334,2021-06-13,2021-07-13,2021-08-13,2021-11-01
760810,NY,INDIVIDUAL,"2 years",TeleNav,A,RENT,"Fully Paid",961133,car,A4," 36 months","Not Verified",110000,0.0693,99.53,0.0749,3200,17,3481,2021-12-11,2021-12-12,2022-12-01,2021-11-05
353624,PA,INDIVIDUAL,"2 years","Psychology Software Tools, Inc",A,RENT,"Fully Paid",357323,car,A4," 36 months","Not Verified",31000,0.085,50.38,0.0832,1800,11,1806,2021-11-06,2021-11-02,2021-11-03,2021-08-08
476925,NY,INDIVIDUAL,"2 years","Impact Technologies, LLC",A,RENT,"Fully Paid",604357,car,A5," 36 months","Not Verified",84000,0.0913,190.63,0.0894,6000,4,6691,2021-11-13,2021-12-10,2021-12-11,2021-10-01
731269,MD,INDIVIDUAL,"2 years","baystate builders",A,RENT,"Fully Paid",927319,car,A5," 36 months","Not Verified",30000,0.072,187.08,0.0766,6000,21,6722,2021-04-14,2021-05-14,2021-06-14,2021-11-04
805646,CT,INDIVIDUAL,"3 years","CONNSACS, Inc.",A,RENT,"Fully Paid",1011709,car,A1," 36 months","Not Verified",35000,0.1282,144.77,0.0542,4800,15,4966,2021-01-16,2021-12-07,2021-12-08,2021-11-07
892547,CA,INDIVIDUAL,"3 years","Panasonic Avionics Corporation",A,RENT,"Fully Paid",1109494,car,A2," 36 months","Not Verified",80000,0.1425,368.45,0.0662,12000,14,13264,2021-10-14,2021-10-14,2021-11-14,2021-11-09
685139,GA,INDIVIDUAL,"3 years","Turner Broadcasting",A,RENT,"Fully Paid",874733,car,A2," 36 months","Not Verified",47000,0.1006,121.31,0.0579,4000,13,4344,2021-04-15,2021-02-14,2021-03-14,2021-11-02
744231,FL,INDIVIDUAL,"3 years","Mediatech, Inc.",A,RENT,"Fully Paid",942686,car,A3," 36 months","Not Verified",34200,0.0242,222.29,0.0699,7200,6,8002,2021-05-14,2021-05-14,2021-06-14,2021-11-05
665503,CA,INDIVIDUAL,"3 years","The Capital Group",A,RENT,"Fully Paid",850858,car,A4," 36 months","Not Verified",65000,0.0414,130.25,0.0729,4200,8,4690,2021-10-15,2021-02-14,2021-03-14,2021-11-02
408378,DC,INDIVIDUAL,"3 years","United States Patent and Trademark Office",A,RENT,"Fully Paid",458437,car,A4," 36 months","Not Verified",98000,0.0277,127.79,0.0932,4000,25,4599,2021-10-14,2021-12-05,2021-12-06,2021-09-05
824461,TX,INDIVIDUAL,"4 years","Booz & Company",A,RENT,"Fully Paid",1033127,car,A1," 36 months","Not Verified",68500,0.0519,60.32,0.0542,2000,14,2099,2021-12-09,2021-12-09,2021-12-10,2021-11-07
741404,GA,INDIVIDUAL,"4 years","KTG, Inc.",A,RENT,"Fully Paid",939281,car,A1," 36 months","Not Verified",36000,0.0567,337.8,0.0542,11200,24,11527,2021-03-16,2021-11-12,2022-11-01,2021-11-05
687875,FL,INDIVIDUAL,"4 years","tire kingdom",A,RENT,"Fully Paid",877916,car,A2," 36 months","Not Verified",60000,0.2162,212.29,0.0579,7000,12,7552,2021-05-16,2021-02-13,2021-03-13,2021-11-03
674916,FL,INDIVIDUAL,"4 years",Walmart,A,RENT,"Fully Paid",862606,car,A4," 36 months","Not Verified",14400,0.0208,124.04,0.0729,4000,3,4322,2021-01-15,2021-12-08,2021-12-09,2021-11-02
383869,CA,INDIVIDUAL,"4 years",NULL,A,RENT,"Fully Paid",414464,car,A4," 36 months","Not Verified",189996,0.0105,268.36,0.0932,8400,13,9661,2021-12-03,2021-12-03,2021-12-04,2021-09-03
